Id,SalePrice
1461,122903.12794954753
1462,169929.42671748583
1463,193179.58311384462
1464,200514.10411041495
1465,186396.03706770804
1466,176865.37258306987
1467,179503.42095866826
1468,169775.32543846525
1469,186220.7417516982
1470,115577.11740874292
1471,191175.76347444704
1472,96331.73860070667
1473,98335.58121364021
1474,149398.83250507788
1475,122892.61446523946
1476,393788.3929261346
1477,272569.1800956407
1478,276164.56298441725
1479,284199.91563415126
1480,462595.9275079323
1481,334759.24262277276
1482,208606.93715322993
1483,174728.9425912072
1484,165113.79961564663
1485,180316.52778697677
1486,193008.80417396236
1487,354219.9224268721
1488,242052.1438130062
1489,205900.12256819155
1490,226518.5968359435
1491,192814.10698669415
1492,91556.1307813831
1493,171843.62729298713
1494,297694.49150320474
1495,303002.9973633592
1496,229781.45367082543
1497,184775.39697011394
1498,156962.18183412362
1499,158119.74383823015
1500,150403.25339621192
1501,175732.96601323763
1502,136826.87707493373
1503,304572.0164872987
1504,232556.90193705165
1505,223828.11305009233
1506,187836.1864843598
1507,251420.87003723005
1508,191056.217697494
1509,154103.15928925294
1510,145721.70197401725
1511,139826.82337262793
1512,161513.65899087873
1513,145786.85921808478
1514,165504.69401896285
1515,199351.40130956977
1516,147385.8379546556
1517,163416.44278305196
1518,131336.10276011398
1519,223634.27189693262
1520,130084.81662860418
1521,139054.6022500395
1522,168018.971326982
1523,115216.89234683258
1524,124444.54305205634
1525,124061.6051389744
1526,125656.6680943763
1527,94998.38556724272
1528,135065.6899762202
1529,146980.957755797
1530,172006.08154236723
1531,108550.3791534718
1532,94582.77428822464
1533,156321.4694252749
1534,129131.13699424909
1535,160896.1108984817
1536,114845.94660846746
1537,74039.30138119472
1538,154265.58389779247
1539,176597.15081700945
1540,95582.95661074056
1541,138772.5063506419
1542,146495.1918028179
1543,203088.72653095223
1544,77227.61877773263
1545,107437.30195378663
1546,131071.64029460467
1547,139049.8775969845
1548,135371.42304728032
1549,112245.06557610085
1550,139333.64586594806
1551,113402.71216370376
1552,135944.05469603962
1553,150155.22683367017
1554,116659.1210430321
1555,164452.18966438188
1556,85364.57693655776
1557,115863.00012566785
1558,83853.13754867915
1559,96366.44414478811
1560,137335.1252806681
1561,132859.3950290451
1562,131493.48865208362
1563,113964.54116982559
