Date,Adj Close,Close,High,Low,Open,Volume
2020-01-01 00:00:00+00:00,5.947800159454346,5.947800159454346,5.947800159454346,5.946800231933594,5.947800159454346,0
2020-01-02 00:00:00+00:00,5.946300029754639,5.946300029754639,5.958399772644043,5.943049907684326,5.946199893951416,0
2020-01-03 00:00:00+00:00,5.955699920654297,5.955699920654297,5.976799964904785,5.952000141143799,5.954500198364258,0
2020-01-06 00:00:00+00:00,5.967959880828857,5.967959880828857,5.975900173187256,5.963990211486816,5.96806001663208,0
2020-01-07 00:00:00+00:00,5.968999862670898,5.968999862670898,5.976280212402344,5.950789928436279,5.968900203704834,0
2020-01-08 00:00:00+00:00,5.974370002746582,5.974370002746582,5.983500003814697,5.911330223083496,5.97599983215332,0
2020-01-09 00:00:00+00:00,5.908899784088135,5.908899784088135,5.925469875335693,5.855199813842773,5.90880012512207,0
2020-01-10 00:00:00+00:00,5.877299785614014,5.877299785614014,5.894800186157227,5.8601298332214355,5.878399848937988,0
2020-01-13 00:00:00+00:00,5.875329971313477,5.875329971313477,5.877900123596191,5.852049827575684,5.876570224761963,0
2020-01-14 00:00:00+00:00,5.865499973297119,5.865499973297119,5.89900016784668,5.8618998527526855,5.865699768066406,0
2020-01-15 00:00:00+00:00,5.8871002197265625,5.8871002197265625,5.898129940032959,5.868959903717041,5.883500099182129,0
2020-01-16 00:00:00+00:00,5.875349998474121,5.875349998474121,5.890260219573975,5.8383002281188965,5.876299858093262,0
2020-01-17 00:00:00+00:00,5.855100154876709,5.855100154876709,5.9079999923706055,5.847499847412109,5.855100154876709,0
2020-01-20 00:00:00+00:00,5.890769958496094,5.890769958496094,5.91795015335083,5.889959812164307,5.892580032348633,0
2020-01-21 00:00:00+00:00,5.91077995300293,5.91077995300293,5.935890197753906,5.909979820251465,5.913899898529053,0
2020-01-22 00:00:00+00:00,5.93310022354126,5.93310022354126,5.941400051116943,5.916810035705566,5.932700157165527,0
2020-01-23 00:00:00+00:00,5.9196600914001465,5.9196600914001465,5.944799900054932,5.90500020980835,5.92110013961792,0
2020-01-24 00:00:00+00:00,5.929200172424316,5.929200172424316,5.946090221405029,5.920499801635742,5.927390098571777,0
2020-01-27 00:00:00+00:00,5.944779872894287,5.944779872894287,5.9552998542785645,5.935080051422119,5.9452900886535645,0
2020-01-28 00:00:00+00:00,5.942800045013428,5.942800045013428,5.950900077819824,5.932779788970947,5.942500114440918,0
2020-01-29 00:00:00+00:00,5.940999984741211,5.940999984741211,5.967899799346924,5.9375,5.938350200653076,0
2020-01-30 00:00:00+00:00,5.95665979385376,5.95665979385376,5.985499858856201,5.956600189208984,5.95989990234375,0
2020-01-31 00:00:00+00:00,5.97415018081665,5.97415018081665,5.985159873962402,5.972469806671143,5.976799964904785,0
2020-02-03 00:00:00+00:00,5.975039958953857,5.975039958953857,5.984519958496094,5.975399971008301,5.976480007171631,0
2020-02-04 00:00:00+00:00,5.98360013961792,5.98360013961792,5.986100196838379,5.961679935455322,5.983500003814697,0
