ranker,player,pos,age,team_id,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
1,Gary Alcorn,C,24,LAL,20,,8.7,0.6,2.0,.300,,,,0.6,2.0,.300,.300,0.4,0.4,.875,,,2.5,0.1,,,,2.4,1.6
2,Paul Arizin*,SF,32,PHW,79,,37.2,8.2,19.4,.425,,,,8.2,19.4,.425,.425,6.7,8.1,.833,,,8.6,2.4,,,,4.2,23.2
3,Al Attles*,PG,24,PHW,77,,20.1,2.9,7.1,.409,,,,2.9,7.1,.409,.409,1.3,2.1,.599,,,2.8,2.3,,,,3.1,7.0
4,Dick Barnett*,SG,24,SYR,78,,26.5,6.9,15.3,.452,,,,6.9,15.3,.452,.452,3.1,4.3,.712,,,3.6,2.8,,,,2.2,16.9
5,Elgin Baylor*,SF,26,LAL,73,,42.9,12.8,29.7,.430,,,,12.8,29.7,.430,.430,9.3,11.8,.783,,,19.8,5.1,,,,3.8,34.8
6,Ernie Beck,SG,29,TOT,10,,8.2,1.0,2.9,.345,,,,1.0,2.9,.345,.345,0.6,0.7,.857,,,2.3,1.5,,,,1.0,2.6
6,Ernie Beck,SG,29,STL,7,,8.9,1.0,3.0,.333,,,,1.0,3.0,.333,.333,0.7,0.7,1.000,,,1.7,1.9,,,,0.9,2.7
6,Ernie Beck,SG,29,SYR,3,,6.7,1.0,2.7,.375,,,,1.0,2.7,.375,.375,0.3,0.7,.500,,,3.7,0.7,,,,1.3,2.3
7,Whitey Bell,PG,28,NYK,5,,9.0,1.4,3.6,.389,,,,1.4,3.6,.389,.389,0.2,0.6,.333,,,1.4,0.2,,,,1.4,3.0
8,Al Bianchi,PG,28,SYR,52,,12.8,2.3,6.6,.345,,,,2.3,6.6,.345,.345,1.2,1.7,.690,,,2.0,1.8,,,,2.6,5.7
9,Bucky Bockhorn,SG,27,CIN,79,,33.8,5.3,13.4,.397,,,,5.3,13.4,.397,.397,1.9,2.6,.731,,,5.5,4.3,,,,3.6,12.6
10,Bob Boozer,PF,23,CIN,79,,19.9,3.2,7.6,.415,,,,3.2,7.6,.415,.415,2.1,3.1,.672,,,6.2,1.4,,,,2.4,8.4
11,Carl Braun*,PG,33,NYK,15,,14.5,2.5,5.3,.468,,,,2.5,5.3,.468,.468,0.7,0.9,.786,,,2.1,3.2,,,,1.9,5.7
12,Dave Budd,SF,22,NYK,61,,17.6,2.6,5.9,.432,,,,2.6,5.9,.432,.432,1.4,2.2,.649,,,4.9,0.7,,,,2.8,6.5
13,Barney Cable,SF,25,SYR,75,,21.9,3.5,7.7,.463,,,,3.5,7.7,.463,.463,1.0,1.4,.676,,,6.3,1.1,,,,3.3,8.1
14,Wilt Chamberlain*,C,24,PHW,79,,47.8,15.8,31.1,.509,,,,15.8,31.1,.509,.509,6.7,13.3,.504,,,27.2,1.9,,,,1.6,38.4
15,Gene Conley,PF,30,BOS,75,,16.6,2.4,6.6,.370,,,,2.4,6.6,.370,.370,1.4,2.0,.693,,,7.3,0.5,,,,3.7,6.3
