ranker,player,pos,age,team_id,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
1,Jay Arnette,SG,26,CIN,63,,10.5,1.4,3.9,.371,,,,1.4,3.9,.371,.371,0.9,1.2,.747,,,1.0,1.1,,,,2.0,3.8
2,Al Attles*,PG,28,SFW,73,,23.7,3.5,9.1,.384,,,,3.5,9.1,.384,.384,2.3,3.8,.624,,,3.3,2.8,,,,3.3,9.3
3,Jim Barnes,PF,23,NYK,75,69,34.5,6.1,14.3,.424,,,,6.1,14.3,.424,.424,3.3,5.1,.662,,,9.7,1.2,,,,4.2,15.5
4,Dick Barnett*,SG,28,LAL,74,,27.4,5.1,12.3,.413,,,,5.1,12.3,.413,.413,3.6,4.6,.799,,,2.7,2.1,,,,2.8,13.8
5,John Barnhill,SG,26,STL,41,,19.0,3.0,7.6,.388,,,,3.0,7.6,.388,.388,1.1,1.7,.643,,,2.2,1.9,,,,1.4,7.0
6,Elgin Baylor*,SF,30,LAL,74,,41.3,10.3,25.7,.401,,,,10.3,25.7,.401,.401,6.5,8.2,.792,,,12.8,3.8,,,,3.2,27.1
7,Zelmo Beaty*,C,25,STL,80,,36.5,6.3,13.1,.482,,,,6.3,13.1,.482,.482,4.3,6.0,.715,,,12.1,1.4,,,,4.1,16.9
8,Walt Bellamy*,C,25,BAL,80,,41.3,9.2,18.0,.509,,,,9.2,18.0,.509,.509,6.4,9.4,.685,,,14.6,2.4,,,,3.3,24.8
9,Al Bianchi,PG,32,PHI,60,,18.6,2.9,8.1,.360,,,,2.9,8.1,.360,.360,0.9,1.3,.711,,,1.6,2.3,,,,3.0,6.7
10,Bucky Bockhorn,SG,31,CIN,19,,22.3,3.2,8.3,.382,,,,3.2,8.3,.382,.382,1.5,2.1,.718,,,2.9,2.4,,,,2.7,7.8
11,Ron Bonham,SF,22,BOS,37,,10.0,2.5,5.9,.414,,,,2.5,5.9,.414,.414,2.5,3.0,.821,,,2.1,0.5,,,,0.9,7.4
12,Bob Boozer,SF,27,NYK,80,51,26.7,5.3,12.0,.440,,,,5.3,12.0,.440,.440,3.6,4.7,.768,,,7.6,1.4,,,,2.3,14.2
