ranker,player,pos,age,team_id,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
1,Zaid Abdul-Aziz,C,26,HOU,48,,18.8,3.1,7.8,.397,,,,3.1,7.8,.397,.397,2.5,3.4,.735,,,6.3,1.1,,,,2.3,8.7
2,Kareem Abdul-Jabbar*,C,25,MIL,76,,42.8,12.9,23.3,.554,,,,12.9,23.3,.554,.554,4.3,6.1,.713,,,16.1,5.0,,,,2.7,30.2
3,Don Adams,SF,25,TOT,74,,25.3,3.6,9.2,.391,,,,3.6,9.2,.391,.391,2.0,2.5,.788,,,6.0,1.6,,,,3.1,9.1
3,Don Adams,SF,25,ATL,4,,19.0,2.0,9.5,.211,,,,2.0,9.5,.211,.211,1.8,2.0,.875,,,5.5,1.3,,,,2.8,5.8
3,Don Adams,SF,25,DET,70,,25.7,3.7,9.1,.402,,,,3.7,9.1,.402,.402,2.0,2.5,.784,,,6.0,1.6,,,,3.1,9.3
4,Rick Adelman*,PG,26,POR,76,,24.0,2.8,6.9,.408,,,,2.8,6.9,.408,.408,1.0,1.3,.716,,,2.1,3.9,,,,2.0,6.6
5,Lucius Allen,PG,25,MIL,80,,33.7,6.8,14.1,.484,,,,6.8,14.1,.484,.484,1.8,2.5,.715,,,3.5,5.3,,,,2.4,15.5
6,Tiny Archibald*,PG,24,KCO,80,,46.0,12.9,26.3,.488,,,,12.9,26.3,.488,.488,8.3,9.8,.847,,,2.8,11.4,,,,2.6,34.0
7,Dennis Awtrey,C,24,TOT,82,,20.6,1.8,3.7,.479,,,,1.8,3.7,.479,.479,1.0,1.9,.562,,,5.5,2.7,,,,2.9,4.6
7,Dennis Awtrey,C,24,PHI,3,2,12.3,1.0,2.3,.429,,,,1.0,2.3,.429,.429,0.3,1.3,.250,,,4.7,0.7,,,,2.7,2.3
7,Dennis Awtrey,C,24,CHI,79,32,20.9,1.8,3.8,.480,,,,1.8,3.8,.480,.480,1.1,1.9,.570,,,5.5,2.8,,,,2.9,4.7
8,Dick Barnett*,SG,36,NYK,51,4,10.1,1.7,4.4,.389,,,,1.7,4.4,.389,.389,0.3,0.6,.533,,,0.8,1.0,,,,1.0,3.8
9,Jim Barnett,PG,28,GSW,82,,27.0,4.8,10.3,.467,,,,4.8,10.3,.467,.467,2.2,2.6,.843,,,3.1,3.7,,,,1.8,11.8
10,Rick Barry*,SF,28,GSW,82,,37.5,9.0,19.9,.452,,,,9.0,19.9,.452,.452,4.4,4.8,.902,,,8.9,4.9,,,,3.0,22.3
